logan level 3
1
187,68,48,255
bg.png
500,-25,270
0

curve;4.616,-84.872;84.999;93.115;136.9
curve;-1.232,-98.769;48.784;88.553;92.893
line;275,-50;550;0
line;275,0.001;550.001;0
line;550,-25;50;-90
curve;-225.796,-685.16;575.988;24.096;-25.572
curve;-294.731,-688.947;594.834;23.685;-24.75
line;400.001,-749.998;141.423;-45.001
line;375.001,-874.999;212.133;-135
line;200,-800.002;282.841;-135
line;275.001,-1075;494.973;-45
line;475.001,-1124.999;494.975;-45
line;525.001,-1424.999;353.556;-135
line;350,-1350;282.843;-135
line;300,-1500;141.421;-45
line;350,-1625;150;-90
line;400,-1625;150;-90
curve;250.185,-1700.185;99.814;0.106;-90.212
curve;249.945,-1699.945;150.055;-0.021;-89.958
line;150,-1799.999;200;-180
line;150,-1850;200;180
curve;66.387,-1733.942;117.209;-98.037;-95.062
curve;48.407,-1751.592;48.434;-88.116;-93.767
line;-48.887,-1578.689;257.388;90.496
line;0,-1625;250.001;90
curve;-161.961,-1485.885;162.576;-4.98;153.091
curve;-150.001,-1499.995;111.799;26.563;90.003
curve;-529.586,-1411.483;226.799;-37.643;-95.339
curve;-550.001,-1473.638;125.822;-37.366;-105.267
line;-275,-1475;212.131;-135
line;-375,-1475;212.133;-135
line;74.141,-251.068;320.167;-39.15
curve;220.134,-300.913;55.689;-113.099;130.236
curve;407.739,-230.826;172.967;-169.93;-281.705
curve;292.104,-429.894;46.658;-154.478;-112.916
curve;205.483,-270.386;33.285;16.255;-140.465
line;68.385,-198.956;308.592;140.108
line;288.665,-279.959;31.949;16.529
line;294.949,-262.749;31.109;-54.512
line;294.898,-244.951;20.685;29.754
line;296.925,-225.102;32.553;115.287
line;309.597,-207.116;39.79;9.457
line;319.411,-179.321;52.831;111.802
line;322.681,-161.335;29.249;-26.564
line;337.397,-150.707;34.491;84.561
line;354.565,-147.437;41.686;-41.82
line;375.412,-134.356;54.995;78.857
line;387.675,-130.677;48.628;-73.393
line;403.617,-133.947;43.911;65.821
line;414.654,-135.991;44.336;-84.71
line;424.873,-148.254;25.54;50.196
line;435.91,-152.751;29.181;-78.69
line;474.743,-159.291;73.602;12.183
line;499.27,-164.605;34.762;-131.186
line;505.809,-180.139;36.304;-7.765
line;507.853,-198.942;45.672;-134.275
line;508.262,-225.921;39.003;-33.023
line;511.124,-240.636;28.19;-163.142
line;507.445,-256.578;30.774;-50.391
line;505.4,-270.885;24.211;-168.309
line;499.269,-283.148;22.716;-59.743
line;495.59,-290.915;19.243;167.735
line;488.641,-297.046;17.071;-73.299
line;496.817,-318.302;28.556;-66.372
line;484.963,-324.843;37.509;-20.409
line;466.159,-325.66;14.918;-99.468
line;441.224,-326.886;48.977;165.501
line;419.559,-343.237;45.15;-84.805
line;410.975,-355.5;29.487;136.125
line;394.216,-357.953;28.155;-115.821
line;362.74,-351.413;63.606;142.836
line;339.44,-346.099;28.095;-81.633
line;333.718,-355.092;18.371;147.725
line;321.864,-361.632;24.308;-109.657
line;303.879,-378.181;29.609;-159.837
line;352.065,-407.042;101.695;-176.258
line;295.873,-439.91;21.809;112.254
curve;303.328,-423.436;13.227;98.702;110.151
curve;249.923,-929.726;55.993;-137.202;-83.472
curve;516.102,-1284.359;51.97;-58.921;110.141
curve;464.953,-1467.186;125.796;-167.738;-48.997
curve;279.951,-793.75;70.19;3.341;-44.922
line;-829.251,-1445.916;391.541;137.807
line;-732.197,-1371.869;392.367;114.77
line;-894.343,-1254.083;200.339;37.046
